subj,salas
Computational Tools for Data Science,salaA
Computational Tools for Data Science,salaB
Mathematical Foundations for Artificial Intelligence,salaA
Mathematical Foundations for Artificial Intelligence,salaC
Mathematical Foundations for Artificial Intelligence,salaD
Fundamentals of Artificial Intelligence,salaA
Fundamentals of Artificial Intelligence,salaC
Fundamentals of Artificial Intelligence,salaD
Statistical Models for AI,salaA
Statistical Models for AI,salaC
Statistical Models for AI,salaE
Machine Learning Algorithms,salaE
Cálculo,salaC
Cálculo,salaD
Matemática Discreta e Álgebra Linear,salaA
Matemática Discreta e Álgebra Linear,salaB
Teoria dos Circuitos Elétricos,salaC
Teoria dos Circuitos Elétricos,salaE
Sistemas Digitais,salaC
Sistemas Digitais,salaArtes
Programação Imperativa,salaA
Programação Imperativa,lab
Análise Matemática,salaA
Ciência e Engenharia dos Materiais,lab
Processos Industriais de Fabrico I,lab
Algoritmos e Estruturas de Dados,salaA
Introdução à Engenharia e Gestão Industrial,salaB
Introdução ao Direito,salaD
Direito Constitucional,salaC
Noções de Contabilidade e Relato Financeiro,salaA
Direito da União Europeia,salaB
Economia Política,salaC
